name,prompt,negative_prompt
Joe Style,"nousr robot,  (((full body, legs, arms, hands, feet))), heavily armored, soldier, ((intimidating)), imposing, fierce, shoulder pads, cyberpunk augmentation, cyberware, cyborg, carbon fiber, chrome, metal skull, bloody, cyber plate armor, dark atmosphere, cyberpunk, beautiful detailed glow, detailed, Cinematic light, intricate detail, highres, rounded eyes, high detail, sharp focus, smooth, aesthetic, extremely detailed, stylish pose,","multiple people, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, cropped, poorly drawn hands, poorly drawn face, deformed, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit, makeup"
WIP tags,"girl in dgs illustration style, (((full-body shot, arms, legs, hands))), dark atmosphere, cyberpunk, dark night, ((wearing a white t-shirt and khaki cargo pants and a black short jacket, midriff, dog tags )), (orange hair, ponytail, bangs, straight hair, (purple eyes), shoulder-length hair, small breasts), smile, intricate, 8k, highly detailed, digital painting, intense, sharp focus","multiple people, lowres, bad anatomy, bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit, makeup,out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers"
functional Alice Hoverboard prompt,"portrait of a girl in dgs illustration style, ((full body)), female soldier , (standing, legs, feet, ((futuristic flying hoverboard)), skateboard), (wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff), orange hair, ponytail, bangs, straight hair, (purple eyes, grinning), shoulder-length hair, small breast, cleavage, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, cyberpunk background, cyberpunk city, (flying through a cyberpunk city, cinematic, epic, wind), (((solo focus, solo))), (skateboarding pose)
","out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, makeup, facepaint, wheels
"
loose clothes TEST style,"portrait of a girl in dgs illustration style, ((full body)), female soldier, (wearing a (((white t-shirt))) with khaki cargo pants and a black short jacket, midriff, ((((baggy clothes, loose clothes, oversized clothes))))), orange hair, ponytail, bangs, straight hair, (purple eyes, grinning), shoulder-length hair, small breast, cleavage, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, ((overlooking city street), cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night, cinematic, wind), (((solo focus, solo))),
","makeup, facepaint, shorts, out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit, skin tight clothes, tight shirt
"
temp,"portrait of a girl in dgs illustration style, ((full body)), female soldier, (wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, white shirt, oversized shirt, loose shirt), orange hair, ponytail, bangs, straight hair, (((light purple eyes, lavender eyes)), grinning), shoulder-length hair, small breast, cleavage, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, ((overlooking city street), cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night, cinematic, wind), (((solo focus, solo))),","skin tight clothes, tight shirt, makeup, facepaint, shorts, out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
cyberarm WIP,"portrait of a girl in dgs illustration style, ((((pink glow, pink glowing lines, glowing , chrome, metal, shiny, ((((glowing of liquid tubes)))), cybernetic arm, mechanical arm, prosthetic arm)))), female soldier, hands in pockets, wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, white shirt, oversized shirt, loose shirt, small breasts, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, overlooking city street, cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night","skin tight clothes, tight shirt, shorts, out of focus, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
cyberarm WIP2,"portrait of a girl in dgs illustration style, ((((pink glowing accents, mechanical arm, cybernetic arm, prosthetic arm, purple glowing lines)))), female soldier, hands in pockets, wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, white shirt, oversized shirt, loose shirt, small breasts, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, overlooking city street, cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night","skin tight clothes, tight shirt, shorts, out of focus, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
jacket sleeve fix,"portrait of a girl in dgs illustration style, pink glowing accents, cybernetic arm, prosthetic arm, armor plating, arm plating, armored, armored prosthetic, female soldier, hands in pockets, ((wearing a white t-shirt with khaki cargo pants and a black short jacket, (((short jacket))), midriff, white shirt, oversized shirt, loose shirt)), small breasts, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, overlooking city street, cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night","skin tight clothes, tight shirt, shorts, out of focus, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
Alice Final,"portrait of a girl in dgs illustration style, female soldier, hands in pockets, (wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, loose shirt, oversized shirt), orange hair, ponytail, bangs, straight hair, (purple eyes, grinning), shoulder-length hair, small breast, cleavage, intricate, 8k, highly detailed, detailed hands, detailed face, detailed legs, digital painting, intense, sharp focus, ((overlooking city street), cyberpunk background, cyberpunk city, night, nighttime, dark, dark atmosphere, dark night, cinematic, wind)","tight clothes, skin tight clothes, tight shirt, skin tight shirt, makeup, facepaint, shorts, out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit, skin tight clothes, tight shirt"
background modification,"portrait of a girl in dgs illustration style, female soldier, wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, loose shirt, oversized shirt, intricate, 8k, highly detailed, detailed legs, insanely detailed legs, insanely detailed pants, digital painting, intense, sharp focus, ((((overlooking city street, ((cyberpunk background, cyberpunk city)), night, nighttime, night sky)), dark, dark atmosphere, dark night, cinematic, wind))","tight clothes, skin tight clothes, tight shirt, skin tight shirt, makeup, facepaint, shorts, out of focus, scary, creepy, evil, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
background edit attempts,"portrait of a girl in dgs illustration style, female soldier, wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, loose shirt, oversized shirt, detailed legs, insanely detailed legs, insanely detailed pants, digital painting, intense, sharp focus, ((((intricate, 8k, highly detailed, overlooking city street, cyberpunk background, cyberpunk city, ((beautiful nighttime cityscape)), night, nighttime, night sky, cinematic))))","out of focus, disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
background edits current,"portrait of a girl in dgs illustration style, (((solo, solo focus, 1girl, one girl))), ((((overlooking city street, standing on balcony, leaning back against railing, rooftop), beautiful view, breathtaking view, night, nighttime, night sky, starry sky, neon lights)),  cinematic view, cinematic, cyberpunk background), female soldier, hands in pockets, (wearing a white t-shirt with khaki cargo pants and a black short jacket, midriff, loose shirt, oversized shirt), (orange hair, ponytail, bangs, straight hair, (purple eyes, grinning), shoulder-length hair, small breast, cleavage), intense, sharp focus, digital painting, ","disfigured, missing limbs, ugly, gross, missing fingers, multiple people, lowres, bad anatomy, bad hands, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, fewer digits, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, cross-eyed, mutated hands, polar lowres, bad body, bad proportions, gross proportions, error, missing fingers, missing arms, missing legs, extra digit"
